Job Title,Company,Listing Time,Location,Experience,Salary,Skills,Job Link
Manager - Projects,Vasavi Power Services Pvt Ltd,7 days ago,Vijayawada,8 - 11  Years,As per Industry Standards,gas turbine | planning | power plant | commissioning,https://m.timesjobs.com/mobile/job-detail/manager-projects-vasavi-power-services-pvt-ltd-vijayawada-8-to-11-yrs-jobid-bZPSEaTJ5OpzpSvf__PLUS__uAgZw==&bc=+&sequence=15
Manager - Commercial,Vasavi Power Services Pvt Ltd,7 days ago,Vijayawada,8 - 11  Years,As per Industry Standards,estimation | electrical | epc | commissioning,https://m.timesjobs.com/mobile/job-detail/manager-commercial-vasavi-power-services-pvt-ltd-vijayawada-8-to-11-yrs-jobid-dyYUEOvxA__SLASH__BzpSvf__PLUS__uAgZw==&bc=+&sequence=16
Electrical Site Engineer,POWER TRACK SYSTEM PRIVATE LIMITED,56 days ago,Mumbai,2 - 5  Years,2.40 - 4.80 Lakhs,Electrical Engineering | electrical supervisor | Autocad | electrical site engineer | site engineer | site supervisor | electrical engineer | engineer | electrical | technician,https://m.timesjobs.com/mobile/job-detail/electrical-site-engineer-power-track-system-private-limited-mumbai-2-to-5-yrs-jobid-FtqZig65TNdzpSvf__PLUS__uAgZw==&bc=+&sequence=17
Functional Lead  Operation & Maintenance,NTPC GE Power Services Limited,7 days ago,Noida/Greater Noida,0 - 3  Years,As per Industry Standards,equipment maintenance | safety | thermal power plant | ehs | maintenance management | ibr | operation & maintenance | maintenance,https://m.timesjobs.com/mobile/job-detail/functional-lead-operation-maintenance-ntpc-ge-power-services-limited-noida-greater-noida-0-to-3-yrs-jobid-TC6nI9Mr8MpzpSvf__PLUS__uAgZw==&bc=+&sequence=18
Trainee Engineers,inel power system engineers pvt.ltd.,8 days ago,Chennai,0 - 3  Years,As per Industry Standards,process industries | maintenance | commissioning,https://m.timesjobs.com/mobile/job-detail/trainee-engineers-inel-power-system-engineers-pvt-ltd-chennai-0-to-3-yrs-jobid-vcyP2WYR__PLUS__tdzpSvf__PLUS__uAgZw==&bc=+&sequence=19
E&I Technician,International Experts Hub,10 days ago,Doha,3 - 5  Years,Best in Industry,Electrical Technician | Instrument Technician,https://m.timesjobs.com/mobile/job-detail/e-i-technician-a-reputed-power-solutions-company-in-qatar-doha-3-to-5-yrs-jobid-pgYsUADtFRhzpSvf__PLUS__uAgZw==&bc=+&sequence=20
Testing & Commissioning Engineer  HV / MV / LV Substations,International Experts Hub,38 days ago,"Al Madina Al Munawarah,  Eastern Province,  Jeddah",5 - 10  Years,Best in Industry,HV / MV / LV Substations | Power Systems / Substation Engineering | Omicron | Megger,https://m.timesjobs.com/mobile/job-detail/testing-commissioning-engineer-hv-mv-lv-substations-on-behalf-on-power-systems-substation-engineering-company-al-madina-al-munawarah-eastern-province-jeddah-5-to-10-yrs-jobid-Qgn4Rbqm2RxzpSvf__PLUS__uAgZw==&bc=+&sequence=21
Power BI Developer,Novo Nordisk,3 days ago,Bengaluru / Bangalore,5 - 8  Years,As per Industry Standards,dashboards | data science,https://m.timesjobs.com/mobile/job-detail/power-bi-developer-novo-nordisk-bengaluru-bangalore-5-to-8-yrs-jobid-gK99tkWVsM1zpSvf__PLUS__uAgZw==&bc=+&sequence=22
Power BI Developer,origin hr,4 days ago,"Mumbai,  Bengaluru / Bangalore,  Delhi,  Pune,  Hyderabad/Secunderabad",5 - 8  Years,As per Industry Standards,power bi expertise | dax proficiency | bi developer,https://m.timesjobs.com/mobile/job-detail/power-bi-developer-origin-hr-mumbai-bengaluru-bangalore-delhi-pune-hyderabad-secunderabad-5-to-8-yrs-jobid-NzFOoVCLXOpzpSvf__PLUS__uAgZw==&bc=+&sequence=23
Power BI Developer,IQVIA,5 days ago,Bengaluru / Bangalore,0 - 1  Years,As per Industry Standards,object oriented programming | front end development | back end development | sql queries understanding | web technologies expertise | python | css | javascript | ruby | php | html | website development,https://m.timesjobs.com/mobile/job-detail/power-bi-developer-iqvia-bengaluru-bangalore-0-to-1-yrs-jobid-OM3qwixjJ__SLASH__VzpSvf__PLUS__uAgZw==&bc=+&sequence=24
Power BI Developer,MTAP Technologies,5 days ago,Gurgaon,2 - 3  Years,As per Industry Standards,power bi development | data modeling | sql data manipulation | dax calculations | data security | data analysis | data analytics | business requirements | dashboards | data visualization,https://m.timesjobs.com/mobile/job-detail/power-bi-developer-mtap-technologies-gurgaon-2-to-3-yrs-jobid-ItFgjfi7HZxzpSvf__PLUS__uAgZw==&bc=+&sequence=25
